stare_civila,venit_anual,suma_depozite,suma_solicitata,profesia
N,30719.129999999997,122.9,24054,CONDUCATORI AUTO
C,6000.0,0.0,5719,Muncitor necalificat in agricultura
D,7500.0,648.2,6761,Operator programare
N,2570.09,0.0,2553,Alti muncitori necalificati in servicii publice
N,5695.92,694.1,5055,"Muncitor necalificat la intretinerea de drumuri, sosele,poduri, baraje"
D,15000.0,951.3,12352,Masinist pentru utilaje specifice la extractie si executia
D,10000.0,114.8,9339,Instalator instalatii tehnico-sanitare si de gaze
C,23.3,162.7,11,Operator chimist la fabricarea altor produse organice
D,5000.0,1.5,4106,Economist in industrie
D,5000.0,49.0,4862,Electrician pentru utilizarea energiei electrice
N,85800.67,27685.0,73244,Sef depozit
C,2850.0,217.5,2152,Instalator incalzire centrala si gaze
C,29000.0,1.1,26711,Lacatus mecanica fina
D,22674510.17,23101764.900000002,16254949,Medic
D,11500.0,11504.7,11225,Director vanzari
C,33309.9,316.70000000000005,28614,Preot
D,8500.0,99.1,8021,Primitor distribuitor materiale si scule
D,16000.0,30.1,15570,Asistent maternal
V,6212063.87,5580592.0,5122115,Pensionar
N,53811.74,39865.799999999996,51753,Manipulant marfuri
D,8800.0,189.6,8280,ALTI FUNCTIONARI DE BIROU
D,83040.5,26424.8,69160,"DIRECTORI GENERALI, DIRECTORI DIN UNITATI ECONOMICO-SOCIALE  MARI SI ASIMILATI"
C,5635997.48,4400681.5,4751727,Agricultor
C,16500.0,2010.0,15940,Secretara
N,70794.39,501.5,44779,"Analisti, programatori, informaticieni designeri"
D,21241165.74,13006037.4,15017113,Economist
D,25373.8,487.8,22182,Asistent medical generalist
C,28000.0,13.0,24853,Asistent medical sef
D,82036.98,16067.800000000001,74692,Lacatus mecanic
V,1630.8,24.1,1232,Alti functionari de birou
D,12500.0,3086.9,12474,"Profesor in invatamintul liceal, postliceal, profesional si de maistri"
C,6682.24,34.9,6547,Zidari
C,55516.5,446.8,48575,Soferi de autoturisme si camionete
N,7000.0,132.1,6978,Brutar
D,5000.0,2.2,4345,"Ingrijitor farmacii, cabinete veterinare"
C,2717.5,3.6,1886,Tamplar manual/artizanal
D,30000.0,53.7,29775,Finisor laminate si trefilate
D,6000.0,33.0,5658,Ingrijitoare de copii
D,17448.59,542.3,16078,Ingrijitor cladiri
D,18500.0,123.2,18267,Sef sectie industria extractiva si prelucratoare
D,16000.0,33.8,14831,Masinist in legatorie mecanica
C,95268.35,2156.2999999999997,88800,MUNCITORI NECALIFICATI
D,29000.0,24.1,28764,Portar
D,1885.69,0.0,1633,ALTI LUCRATORI IN SERVICII PENTRU POPULATIE
C,3378.0,52.0,3283,Vanzator
N,2149.53,7.3,1896,Operator calculator electronic si retele
N,6500.0,27.3,6303,"Montator de aparate radio si TV, redresoare si amplificatoare"
C,24000.0,819.0999999999999,23503,Meserias intretinere cale
C,410556.46,815886.7,272589,Economisti (exclusiv specialisti statisticieni si cei din sistemul financiar-bancar)
D,33700.0,931.8,32770,Medic veterinar sef
C,14700.63,42.1,4969,Director adjunct societate comerciala
C,10000.0,197.0,7990,PROFESORI IN INVATAMANTUL SECUNDAR
V,35580.0,46.6,32717,Consilier administratie publica
D,31200.0,6.1,30381,INVATATORI SI ASIMILATI
C,34957008.71,21838336.4,30184046,Profesor
C,31500.0,96.0,30681,Sofer autocamion
N,1565.42,26.9,1504,Ospatari si barmani
N,18000.0,41.7,17281,Casier
D,1915.88,0.0,1905,Confectioner tricotaje dupa comanda
C,2600.0,27.3,1720,Strungar universal
C,25500.0,140.6,24697,Agent comercial
C,23500.0,21286.9,23260,Invatator
D,7066.5,37.9,6714,Confectioner artConfectioner articole speciale din lemn
D,64915.2,0.0,35445,Tehnician constructii navale
N,38000.0,16214.8,29815,"Colector si preparator faina, singe, carne, oase"
C,56815.83,320.29999999999995,49052,Gestionar depozit
D,4000.0,7.6,3898,Sudor
D,13785.04,0.0,13550,Docher (muncitor portuar)
N,625856.01,325.20000000000005,281862,Frizer
D,4600.0,59.8,4576,MUNCITORI CONSTRUCTORI SI ASIMILATI
C,10200.0,2708.7,9262,Electrician echipamente electrice si energetice
N,13400.0,207.4,13399,OPERATORI LA LINIILE DE MONTAJ AUTOMAT SI ROBOTI INDUSTRIALI
C,5506599.31,4516362.8,4573635,Asistent medical
D,10000.0,25.7,9726,MUNCITORI CONSTRUCTORI LA LUCRARI DE FINISARE
D,3100.0,0.0,2563,"MECANICI, MONTATORI SI REPARATORI DE MASINI SI UTILAJE"
C,39280.37,4071.6,39252,Padurar
D,4672.89,547.8,4663,Vanzator ambulant de produse nealimentare
C,15200.0,30.1,15115,"MUNCITORI NECALIFICATI, IN SERVICII SI VANZARI"
D,9294291.33,6563959.1,6007631,Avocat
C,4859.8,58.9,4481,Dulgheri
D,10210.28,18703.1,9585,Agent paza si ordine
D,23100.0,0.0,22611,Maistru in industria textila-pielarie
C,28000.0,5286.2,27954,"Mecanici, montatori si reparatori de masini agricole si industriale"
C,5000.0,88.4,4832,"Operator confectioner industrial imbracaminte din tesaturi, tricotaje, materiale sintetice"
D,2000.0,9840.0,1534,Profesori in invatamatul gimnazial
D,15420.56,221.4,15376,PROFESORI IN INVATAMANTUL PRIMAR
C,5700.0,0.0,5429,Profesor in invatamintul gimnazial
C,2336.44,332.0,2290,MESERIASI SI LUCRATORI IN TRATAREA SI PRELUCRAREA LEMNULUI
C,5841.12,0.0,5725,Vopsitor auto
N,1700.0,580.9,1686,Ajutor ospatar
D,5600.0,201.0,5444,ASISTENTI SOCIALI
C,2944757.95,2454974.1,2464718,Barman
C,59960.45,2377.5,52675,Sofer de autoturisme si camionete
C,10747.66,20.2,10664,Ambalator manual
C,2090.0,180.2,1906,Administrator
N,18999171.19,14969332.4,15955748,Muncitor necalificat
C,4200.0,98.2,3538,Asfaltator
N,2859.81,99.1,2823,Polizator
D,15186.9,82.7,15029,Bucatar
D,70511.0,587.8,52369,Administrator cumparari
N,51011.0,204.7,45017,Mecanic intretinere si reparatii masini de cusut industriale
C,10031.01,0.0,6628,Inginer automatist
D,53665.95,13460.9,21899,"ZUGRAVI, VOPSITORI, CURATITORI DE FATADE SI ASIMILATI"
D,9900.0,452.0,9829,Fochist la caldari pentru incalziri centrale
C,9512.17,133.8,3811,Liftier
C,24665.42,214.1,23799,MONTATORI SI REPARATORI DE APARATE SI ECHIPAMENTE ELECTRONICE  SI ELECTROTEHNICE
N,4672.89,45.7,4631,Secretar administrativ
C,23500.0,20075.0,22961,Administrator cont
D,865.69,11.7,663,"MESERIASI SI MUNCITORI CALIFICATI IN METALURGIE, CONSTRUCTII  METALICE SI ASIMILATI"
D,31459.35,843.2,19543,Invatatori in invatamantul primar
D,7009.34,13445.6,6903,Dulgher pentru constructii
D,53843.92,80.6,52047,INVATATORI
D,15000.0,304.9,3690,Medic veterinar
C,79619.93000000001,573.7,65276,Contabil
C,1600.0,90.3,1279,Ospatar (chelner)
C,11200.0,239.7,10714,Functionar economic
C,2300.0,620.5,2221,Barman
V,8750.0,20.8,8178,Referent resurse umane
C,5373.83,42.5,5352,"Agent paza in incinte (hoteluri, magazine, etc)"
D,17294.85,166.0,9014,Pompagiu
D,5000.0,25.5,4314,INGINERI IN INDUSTRIA TEXTILA-PIELARIE SI INDUSTRIA ALIMENTARA
C,114688482.67999999,57763202.2,83393891,Inginer
N,4542.75,24.7,4405,"Zugravi, tapetari, lacuitori si vopsitori"
C,103211.0,13174.3,84056,Lucrator comercial
N,5000.0,0.0,4656,Paznic
D,8000.0,0.0,6852,Galvanizator
